-- BATHTUBS --,Description,Finish,Model #,List Price,Vendor,Mult.,Specs,Images,ImageFormula,RETURN TO TABLE OF CONTENTS
Bain Ultra Charism 66x36x24 (Acrylic / Freestanding Oval / Center),"Charism acrylic freestanding oval tub | Nominal Size:  64"" x 36"" x 24"" | Bathing Well: 41 3/4"" x 23 5/8"" x 16"" (51 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires integrated waste & overflow (BOVERINI-XX) and template (90000067)",White,BCH3OF00T-01,"$8,395.00",Robinson,0.65,https://www.bainultra.com/bath-collections/charism-collection/charism-6436,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-01/Charism-6436.jpg"",4,175,175)",
Bain Ultra Esthesia 66x36x25 (Acrylic / Freestanding Oval / Center),"Esthesia acrylic freestanding oval tub | Nominal Size:   64"" x 36"" x 25"" | Bathing Well: 47 3/8"" x 23"" x 15 7/8"" (59 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires integrated waste & overflow (BOVERINI-XX) and template (90000066)",White,BEA3RF00T-01,"$7,125.00",Robinson,0.65,https://www.bainultra.com/bath-collections/esthesia-collection/esthesia-6436,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-01/Esthesia-6436-freestanding.jpg"",4,150,150)",
"Bain Ultra Sanos 66x36x24, Flat Deck (Acrylic / Freestanding Oval / Center)","Sanos acrylic freestanding oval tub with flat deck | Nominal Size:  66"" x 36"" x 24"" | Bathing Well: 42 3/8"" x 22 1/4"" x 14 7/8"" (48 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires separate waste & overflow (BOVERD13-XX)",White,BBSLOFN0T-01,"$7,175.00",Robinson,0.65,https://www.bainultra.com/bath-collections/balneo-collection/sanos-6636#show,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-01/Balneo-sanos-6636-flat-deck.jpg"",4,175,175)",
"Bain Ultra Sanos 66x36x24, Rolled Deck (Acrylic / Freestanding Oval / Center)","Sanos acrylic freestanding oval tub with flat deck | Nominal Size: 66"" x 36"" x 24"" | Bathing Well: 42 3/8"" x 22 1/4"" x 14 7/8"" (48 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires separate waste & overflow (BOVERD13-XX)",White,BBSLOFP0T-01,"$7,175.00",Robinson,0.65,https://www.bainultra.com/bath-collections/balneo-collection/sanos-6636#show,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-01/Balneo-sanos-6636-flat-deck.jpg"",4,175,175)",
Bain Ultra Scala 66x38x25 (Acrylic / Freestanding Oval / Center / BLK Feet),"Scala acrylic freestanding oval tub with MATTE BLACK feet | Nominal Size:  66"" x 38"" x 25"" | Bathing Well: 44 1/2"" x 23 1/8"" x 17 1/2"" (62 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires integrated waste & overflow (BOVERINI-XX) and template (90000077)",White with Matte Black Feet,"BSCMOF00T-01 (Tub), BFEETSC-19 (Feet, Specify Finish)",#N/A,Robinson,0.65,https://www.bainultra.com/bath-collections/scala-collection/scala-6638,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-12/scal_6638_freestanding_low_0.jpg"",4,175,175)",
Bain Ultra Scala 66x38x25 (Acrylic / Freestanding Oval / Center / BSN Feet),"Scala acrylic freestanding oval tub with BRUSHED NICKEL feet | Nominal Size:  66"" x 38"" x 25"" | Bathing Well: 44 1/2"" x 23 1/8"" x 17 1/2"" (62 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires integrated waste & overflow (BOVERINI-XX) and template (90000077)",White with Brushed Nickel Feet,"BSCMOF00T-01 (Tub), BFEETSC-09 (Feet, Specify Finish)","$7,450.00",Robinson,0.65,https://www.bainultra.com/bath-collections/scala-collection/scala-6638,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-12/scal_6638_freestanding_low_0.jpg"",4,175,175)",
Bain Ultra Scala 66x38x25 (Acrylic / Freestanding Oval / Center / CHR Feet),"Scala acrylic freestanding oval tub with CHROME feet | Nominal Size:  66"" x 38"" x 25"" | Bathing Well: 44 1/2"" x 23 1/8"" x 17 1/2"" (62 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires integrated waste & overflow (BOVERINI-XX) and template (90000077)",White with Chrome Feet,"BSCMOF00T-01 (Tub), BFEETSC-07 (Feet, Specify Finish)","$7,450.00",Robinson,0.65,https://www.bainultra.com/bath-collections/scala-collection/scala-6638,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-12/scal_6638_freestanding_low_0.jpg"",4,175,175)",
Bain Ultra Scala 66x38x25 (Acrylic / Freestanding Oval / Center / GOLD Feet),"Scala acrylic freestanding oval tub with SATIN BRASS feet | Nominal Size:  66"" x 38"" x 25"" | Bathing Well: 44 1/2"" x 23 1/8"" x 17 1/2"" (62 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires integrated waste & overflow (BOVERINI-XX) and template (90000077)",White with Satin Brass Feet,"BSCMOF00T-01 (Tub), BFEETSC-18 (Feet, Specify Finish)",#N/A,Robinson,0.65,https://www.bainultra.com/bath-collections/scala-collection/scala-6638,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-12/scal_6638_freestanding_low_0.jpg"",4,175,175)",
Bain Ultra Scala 66x38x25 (Acrylic / Freestanding Oval / Center / PN Feet),"Scala acrylic freestanding oval tub with POLISHED NICKEL feet | Nominal Size:  66"" x 38"" x 25"" | Bathing Well: 44 1/2"" x 23 1/8"" x 17 1/2"" (62 gallon capacity); Includes Geysair® Hydro-Thermo Massage, wall-mount control, and heated backrest; Requires integrated waste & overflow (BOVERINI-XX) and template (90000077)",White with Polished Nickel Feet,"BSCMOF00T-01 (Tub), BFEETSC-10 (Feet, Specify Finish)","$7,450.00",Robinson,0.65,https://www.bainultra.com/bath-collections/scala-collection/scala-6638,,"=IMAGE(""https://bainultra.com/sites/default/files/2018-12/scal_6638_freestanding_low_0.jpg"",4,175,175)",
Bain Ultra Origami 72x36x22 ( Drop In / Alcove / Undermount / Center),,White,BOOVR120N-01,"$1,776.00",Granite Group,,https://bainultra.com/bath-collections/origami-collection/origami-7236-original-series,,"=IMAGE(""https://images.webfronts.com/cache/frosnckawxjq.jpg?imgeng=/w_300"",1)",
